# n_values  n_qbit_values  d2Ndt2_values_1  std_d2Ndt2_values_1  relE_values_1  std_relE_values_1  amp_values_1  std_amp_values_1  d2Ndt2_values_2  std_d2Ndt2_values_2  relE_values_2  std_relE_values_2  amp_values_2  std_amp_values_2  Emin_values  std_Emin_values
6.000000000000000000e+00 6.000000000000000000e+00 -1.271238097454001348e-01 4.966076620603789536e-03 1.914255767257001750e+00 1.261649522571440390e-02 1.593971168826953111e-01 5.836686631685151019e-03 -5.822827863787122249e-01 1.162296866549353963e-02 1.254929271300067484e+00 8.835546054325620069e-03 7.593061068336628416e-01 5.457508049739625416e-03 -2.289496041235887791e+00 6.136285355195680163e-03
6.000000000000000000e+00 8.000000000000000000e+00 -1.512893247618699033e-01 6.463350953281151584e-03 2.023837527292024152e+00 1.374017706020737133e-02 2.613445115391951901e-01 6.221856278972021266e-03 -7.375301690194548954e-01 1.448221408509808503e-02 1.370490153292745150e+00 1.068407607906085056e-02 8.006570871821993007e-01 4.445076599791160377e-03 -2.721356777196838550e+00 7.874718337023675629e-03
6.000000000000000000e+00 1.000000000000000000e+01 -1.939804089935776021e-01 7.551576249889734721e-03 2.157514478296377547e+00 1.562167753677846417e-02 3.168884904695189464e-01 6.466009341936626575e-03 -8.429540471734455753e-01 1.611368640102940272e-02 1.445097575004266499e+00 1.263805698456807111e-02 8.317296667866300730e-01 3.789615029138240082e-03 -3.076857062807660359e+00 9.552297077951169349e-03
6.000000000000000000e+00 1.400000000000000000e+01 -2.489598137348599804e-01 9.911669484324857685e-03 2.441063655279011702e+00 1.773475003326958552e-02 3.726014970026930162e-01 5.866097646263702080e-03 -1.123368465961275708e+00 2.239922207931174455e-02 1.645201905895908867e+00 1.441009489918747104e-02 8.552974463205578193e-01 3.176641387984751545e-03 -3.723764057065561683e+00 1.202611871612115253e-02
6.000000000000000000e+00 1.900000000000000000e+01 -3.235006146540326255e-01 1.372070691994011458e-02 2.713276608244194144e+00 2.137647863790233249e-02 4.154014575084832295e-01 6.015631957961210807e-03 -1.404745986407803571e+00 2.704807449826409499e-02 1.846802326635713420e+00 1.761512193186562034e-02 8.679875055465308131e-01 2.883167479798856309e-03 -4.346683680163477170e+00 1.518477587403313511e-02
6.000000000000000000e+00 2.600000000000000000e+01 -3.984311367203132725e-01 1.547423453463231402e-02 2.996350900212724433e+00 2.363143503689718594e-02 4.573218300132309011e-01 5.858522556010693771e-03 -1.806723636671049960e+00 3.423549008335544097e-02 2.048391314799169471e+00 1.981895350776685313e-02 8.785055390038425394e-01 2.559076800181259766e-03 -5.082928817275078615e+00 1.747903091755678012e-02
6.000000000000000000e+00 3.600000000000000000e+01 -5.868432734734020384e-01 2.408868550955010207e-02 3.521078211558624993e+00 2.859916736546001120e-02 4.642409949619433762e-01 5.759296558325136678e-03 -2.563353937510329583e+00 4.854245111796687273e-02 2.404411284134471583e+00 2.307752871311963966e-02 8.816991381840288966e-01 2.276836516898341368e-03 -6.073570748986668377e+00 2.106075270815213965e-02
6.000000000000000000e+00 4.900000000000000000e+01 -8.329298769219293241e-01 3.098443516187639885e-02 3.988783639063990805e+00 3.295244272539914199e-02 4.882800249344121934e-01 5.594316808121282784e-03 -3.209035395787155132e+00 5.983495026564521896e-02 2.704862755375928351e+00 2.688479265719893527e-02 8.928787055492783953e-01 2.218956055871219770e-03 -7.100158957739643562e+00 2.442765496033667133e-02
6.000000000000000000e+00 6.600000000000000000e+01 -9.691420708678688545e-01 3.851729082429151962e-02 4.465611404226662806e+00 3.780502447686227147e-02 5.120652676827480709e-01 5.486470142861008849e-03 -4.187114252448806972e+00 8.297914057494736040e-02 3.111852577215016069e+00 2.955346320657684794e-02 8.939633070279671134e-01 2.156665140854312039e-03 -8.254497123575722739e+00 2.968592883269288371e-02
6.000000000000000000e+00 8.900000000000000000e+01 -1.397816776253873350e+00 5.238397395986481991e-02 5.064698753041954937e+00 4.497019493738996926e-02 5.221667310173001564e-01 5.522660404326331512e-03 -5.494775031311224467e+00 1.048234765734038371e-01 3.460622577026075231e+00 3.601057733485363288e-02 8.966720881678252875e-01 2.099055190618601477e-03 -9.557987851154408077e+00 3.366055698174857252e-02
